Plante	Date_de_germination	Cotyledons	Taille_Dec_05	Taille_Fev_06	Taille_Mars_06	Taille_Juin_06	Taille_Sept_06	traitement	PAR	reference	espece	pop
1			0	0	0		0	peu	7.95	7.82	mac	rog
2			0	0	0		0	peu	7.46	7.82	mac	rog
3			0	0	0		0	peu	6.38	7.82	mac	rog
4	05/04/2006	11.08	0	0	0	15	75	peu	6.70	7.82	mac	rog
5			0	0	0		0	peu	7.72	7.82	mac	rog
6	17/10/2005	8.03	0	0	0		0	peu	5.29	7.82	mac	rog
7			0	0	0		0	peu	6.85	7.82	mac	rog
8			0	0	0		0	peu	7.12	7.82	mac	rog
9			0	0	0		0	peu	7.50	7.82	mac	rog
10	24/10/2005	6.13	0	0	0		0	peu	6.74	7.82	mac	rog
11	17/10/2005	7.9	16.23	20.51	44.03	40	80	peu	8.05	7.82	mac	rog
12			0	0	0		0	peu	6.64	7.82	mac	rog
13			0	0	0		0	peu	6.94	7.82	mac	rog
14			0	0	0		0	peu	6.10	7.82	mac	rog
15	17/10/2005	5.01	12.05	11.79	13.24	40	80	peu	6.59	7.82	mac	rog
16			0	0	0		0	peu	7.69	7.82	mac	rog
17	17/10/2005	9.45	29.99	37.19	33.62	35	0	peu	7.38	7.82	mac	rog
18			0	0	0		0	peu	7.58	7.82	mac	rog
19			0	0	0		0	peu	5.63	7.82	mac	rog
20			0	0	0		0	peu	7.68	7.82	mac	rog
21	17/10/2005	9.36	14	16.75	9.73		0	peu	7.60	7.82	mac	rog
22			0	0	0		0	peu	5.72	7.82	mac	rog
23	05/04/2006	8.58	0	0	0	45	90	peu	6.82	7.82	mac	rog
24	15/03/2006	5	0	0	5	15	0	peu	5.78	7.82	mac	rog
25	17/10/2005	5.78	16.63	21.055	43.035	45	0	peu	7.52	7.25	mac	rog
26			0	0	0		0	peu	7.14	7.25	mac	rog
27	17/10/2005	9.22	19.67	15.735	28.41	35	60	peu	5.05	7.25	mac	rog
28	17/10/2005	6.85	0	0	0		0	peu	7.26	7.25	mac	rog
29	17/10/2005	4.56	0	0	0	0	0	peu	7.50	7.25	mac	rog
30	24/10/2005	9	0	0	0		0	peu	6.74	7.25	mac	rog
31			0	0	0		0	peu	7.12	7.25	mac	rog
32			0	0	0		0	peu	7.05	7.25	mac	rog
33			0	0	0		0	peu	6.63	7.25	mac	rog
34	17/10/2005	9	0	0	0		0	peu	6.73	8.06	mac	rog
35			0	0	0		0	peu	7.14	8.06	mac	rog
36			0	0	0		0	peu	7.72	8.06	mac	rog
37			0	0	0		0	peu	7.98	8.06	mac	rog
38	17/10/2005	4.85	2.37	3.31	4.49		0	peu	7.78	8.06	mac	rog
39			0	0	0		0	peu	8.17	8.06	mac	rog
40			0	0	0		0	peu	8.06	8.06	mac	rog
41			0	0	0		0	peu	6.35	8.06	mac	rog
42	17/10/2005	9.22	14.985	20.21	23.45	55	55	peu	8.44	8.06	mac	rog
43	05/04/2006	12.96	0	0	0	45	0	peu	8.42	8.06	mac	rog
44	24/10/2005	9.34	0	0	0	15	0	peu	6.55	8.06	mac	rog
45			0	0	0		0	peu	8.64	8.06	mac	rog
46			0	0	0		0	peu	8.01	8.06	mac	rog
47			0	0	0		0	peu	7.42	8.06	mac	rog
48	17/10/2005	9.65	0	0	0		0	peu	7.72	8.06	mac	rog
49	17/10/2005	5.21	12.005	23.9	23.41	30	0	peu	8.56	8.06	mac	rog
50	17/10/2005	5.78	9.76	0	0		0	peu	7.34	8.06	mac	rog
51			0	0	0		0	peu	7.61	8.06	mac	nav
52	17/10/2005	10.22	12.505	14.25	19.04	30	0	peu	7.16	8.06	mac	nav
53			0	0	0		0	peu	6.41	8.06	mac	nav
54			0	0	0		0	peu	5.67	8.06	mac	nav
55			0	0	0		0	peu	5.78	8.06	mac	nav
56	17/10/2005	6.32	31.27	46.595	51.22	60	0	peu	8.68	8.06	mac	nav
57	17/10/2005	5.15	10.575	0	0	15	105	peu	7.97	8.06	mac	nav
58	17/10/2005	6.66	17.405	15.62	0	95	85	peu	7.54	8.06	mac	nav
59	17/10/2005	11.04	25.825	29.32	34.895	60	95	peu	6.90	8.06	mac	nav
60			0	0	0		0	peu	8.05	8.06	mac	nav
61	17/10/2005	8.97	29.91	38.585	49.51	55	0	peu	8.44	8.64	mac	nav
62	29/03/2006	15.8	0	0	5.12		0	peu	7.82	8.64	mac	nav
63	15/03/2006	5.12	0	0	0	25	130	peu	7.02	8.64	mac	nav
64			0	0	0		0	peu	7.86	8.64	mac	nav
65	17/10/2005	6.11	12.57	11.03	12.55	35	80	peu	8.64	8.64	mac	nav
66	17/10/2005	7.15	16.94	13.23	14.12	25	0	peu	7.84	8.64	mac	nav
67			0	0	0		0	peu	6.70	8.64	mac	nav
68	17/10/2005	10.33	30.97	31.09	27.57	65	110	peu	7.24	8.64	mac	nav
69			0	0	0		0	peu	7.82	8.64	mac	nav
70			0	0	0		0	peu	8.40	8.64	mac	nav
71	13/02/2006	2.27	0	0	0		0	peu	8.39	8.64	mac	nav
72			0	0	0		0	peu	8.13	8.64	mac	nav
73			0	0	0		0	peu	8.33	8.64	mac	nav
74	17/10/2005	9.19	21.525	32.925	36.64	45	85	peu	9.02	8.64	mac	nav
75			0	0	0		0	peu	5.46	8.64	mac	nav
76			0	0	0		0	peu	9.07	8.64	mac	nav
77			0	0	0		0	peu	6.66	8.64	mac	nav
78			0	0	0		0	peu	7.92	8.64	mac	nav
79	17/10/2005	5.5	21.135	20.82	21.02	15	50	peu	5.92	8.64	mac	nav
80	24/10/2005	13.53	19.4	23.95	23.29	55	0	peu	6.28	8.64	mac	nav
81	24/10/2005	7.48	15.54	0	0		0	peu	7.61	8.64	mac	nav
82	07/11/2005	12.46	14.96	0	0		0	peu	5.22	8.64	mac	nav
83			0	0	0		0	peu	4.60	8.64	mac	nav
84	17/10/2005	6.49	26.82	30.95	36.55	30	0	peu	8.20	8.64	mac	nav
85	13/02/2006	8.87	0	0	0		0	peu	7.52	8.64	mac	nav
86	29/03/2006	11.4	0	0	0	15	0	peu	8.52	8.64	mac	nav
87	24/10/2005	4.49	6.59	6.54	12.3	50	105	peu	8.27	8.64	mac	nav
88			0	0	0		0	peu	7.38	8.64	mac	nav
89			0	0	0		0	peu	8.36	8.64	mac	nav
90			0	0	0		0	peu	8.19	8.64	mac	nav
91			0	0	0		0	peu	5.97	8.64	mac	nav
92	15/03/2006	6.66	0	0	6.66	25	100	peu	8.32	8.64	mac	nav
93	05/04/2006	8.83	0	0	0	25	80	peu	7.41	8.64	mac	nav
94			0	0	0		0	peu	7.30	8.64	mac	nav
95	17/10/2005	9.33	20.115	21.65	17.63	25	0	peu	7.36	8.64	mac	nav
96			0	0	0		0	peu	8.13	8.64	mac	nav
97			0	0	0		0	peu	6.12	8.64	mac	nav
98			0	0	0		0	peu	7.63	8.64	mac	nav
99	17/10/2005	6.62	0	0	0	25	90	peu	6.55	8.64	mac	nav
100	17/10/2005	7.05	16.86	13.605	18.58	35	120	peu	6.22	8.64	mac	nav
101	17/10/2005	8.93	0	0	5.96	80	110	peu	7.95	8.63	cor	E1
102	17/10/2005	15.48	20.675	14.57	26.62	25	50	peu	6.56	8.63	cor	E1
103	17/10/2005	2.6	16.735	15.4	17.07	25	0	peu	5.68	8.63	cor	E1
104	17/10/2005	4.91	37.905	57.66	68.92	50	115	peu	6.84	8.63	cor	E1
105	17/10/2005	10.12	20.765	20.985	18.505	35	0	peu	8.72	8.63	cor	E1
106	17/10/2005	9.45	29.565	29.21	33.14	35	0	peu	6.38	8.63	cor	E1
107	15/03/2006	5.56	0	0	0	25	70	peu	5.55	8.63	cor	E1
108	17/10/2005	7.97	0	0	0		0	peu	8.50	8.63	cor	E1
109	29/03/2006	18.7	0	0	0		0	peu	8.23	8.63	cor	E1
110	17/10/2005	3.17	4.41	0	14.2	15	0	peu	8.63	8.63	cor	E1
111	17/10/2005	11.53	38.585	51.135	58.555	75	105	peu	8.50	8.63	cor	E1
112	17/10/2005	8.85	16.66	10.3	23.5	30	80	peu	7.69	8.63	cor	E1
113	17/10/2005	4.22		14.65	17.07		0	peu	7.89	8.63	cor	E1
114	17/10/2005	8.27	6.91	7.44	6.19	15	0	peu	5.26	8.63	cor	E1
115	24/10/2005	10.27	11.46	2.67	7.82		0	peu	8.03	8.63	cor	E1
116	12/04/2006	7.69	0	0	0	25	65	peu	7.88	8.63	cor	E1
117	15/03/2006	5	0	0	5	50	0	peu	8.53	8.63	cor	E1
118	17/10/2005	7.41	0	0	0		0	peu	8.27	8.63	cor	E1
119	15/03/2006	8.66	0	0	8.66	30	75	peu	7.80	8.63	cor	E1
120			0	0	0		0	peu	8.08	8.63	cor	E1
121	15/03/2006	5	0	0	5		0	peu	7.20	8.63	cor	E1
122	17/10/2005	8.39	31.36	38.545	55.625	55	90	peu	8.63	8.63	cor	E1
123	17/10/2005	8.59	29.54	41.09	49.54	45	0	peu	8.63	8.63	cor	E1
124	24/10/2005	5.59	9.72	6.13	7.95		0	peu	8.63	8.63	cor	E1
125	17/10/2005	3.6	0	0	0	25	95	peu	7.64	8.63	cor	E1
126	17/10/2005	4.68	24.1	26.25	47.8	35	0	peu	4.98	6.74	cor	E1
127			0	0	0		0	peu	5.84	6.74	cor	E1
128	24/10/2005	9.55	18.12	15.765	26.2	60	0	peu	6.47	6.74	cor	E1
129	31/10/2005	15.53	22.895	0	0	45	120	peu	5.66	6.74	cor	E1
130			0	0	0		0	peu	4.98	6.74	cor	E1
131	29/03/2006	10.1	0	0	0		0	peu	6.51	6.74	cor	E1
132	15/03/2006	5	0	0	5		0	peu	5.40	6.74	cor	E1
133	13/12/2005	5.97	5.97	0	0		0	peu	4.54	6.74	cor	E1
134			0	0	0		0	peu	6.89	6.74	cor	E1
135	17/10/2005	9.58	37.555	26.595	39.39		0	peu	6.11	6.74	cor	E1
136	31/10/2005	13.67	22.57	30.55	38.31		0	peu	6.73	6.74	cor	E1
137	17/10/2005	11.23	0	0	5	25	0	peu	6.42	6.74	cor	E1
138	15/03/2006	5.44	0	0	5.44	55	70	peu	5.88	6.74	cor	E1
139	15/03/2006	8.81	0	0	8.81	40	75	peu	7.13	6.74	cor	E1
140	17/10/2005	11.12	16.805	17.84	28.83	35	85	peu	5.79	6.74	cor	E1
141	17/10/2005	3.89	14.4	18.13	25.62	15	0	peu	5.15	6.82	cor	E1
142	14/11/2005	8.79	0	0	5	20	0	peu	6.18	6.82	cor	E1
143	17/10/2005	8.14	24.99	22.4	25.825	25	65	peu	6.92	6.82	cor	E1
144	29/03/2006	25	0	0	0	30	0	peu	5.96	6.82	cor	E1
145	24/10/2005	14.14	14.19	13.48	0		0	peu	6.33	6.82	cor	E1
146	17/10/2005	6.29	12.1	14.85	21.2	25	55	peu	5.99	6.82	cor	E1
147	17/10/2005	4.88	17.31	17.98	27.94	35	100	peu	6.88	6.82	cor	E1
148	24/10/2005	15.41	19.7	30.52	36.8	40	0	peu	6.87	6.82	cor	E1
149	17/10/2005	7.34	17.19	21.34	17.08	15	0	peu	4.67	6.82	cor	E1
150	17/10/2005	12.51	33.055	39.93	45.34	65	95	peu	5.97	6.82	cor	E1
151	17/10/2005	6.73	17.255	18.77	23.845	50	0	peu	6.80	6.82	cor	E2
152	17/10/2005	9.83	16.78	14.84	21.81	35	95	peu	5.23	6.82	cor	E2
153	17/10/2005	4.11	15.37	3.36	0		0	peu	6.05	6.82	cor	E2
154			0	0	0		0	peu	6.53	6.82	cor	E2
155	17/10/2005	6.69	18.065	36.32	42.27	40	95	peu	5.88	6.82	cor	E2
156			0	0	0		0	peu	6.77	6.82	cor	E2
157	17/10/2005	9.2	14.815	14.99	11.34	25	0	peu	6.75	6.82	cor	E2
158	24/10/2005	14.09	30.73	15.42	27.11	65	95	peu	4.23	6.82	cor	E2
159	17/10/2005	7.53	7.975	12.56	17.59	20	65	peu	6.89	6.82	cor	E2
160			0	0	0		0	peu	5.65	6.82	cor	E2
161	17/10/2005	6.43	17.65	25.33	29.555	45	0	peu	5.61	6.82	cor	E2
162	17/10/2005	7.89	16.845	14.02	7.39	20	65	peu	5.23	6.82	cor	E2
163	22/10/2005	8.8	10.76	13.2	8.5		0	peu	5.76	6.82	cor	E2
164			0	0	0		0	peu	7.00	6.82	cor	E2
165			0	0	0		0	peu	5.92	6.82	cor	E2
166			0	0	0		0	peu	6.86	6.82	cor	E2
167	24/10/2005	15.09	17.24	16.17	20.79	35	0	peu	4.67	6.82	cor	E2
168	24/10/2005	11.19	19.63	19.775	25.06	40	95	peu	5.89	6.82	cor	E2
169	17/10/2005	3.99	19.585	14.81	18.38	50	0	peu	5.99	6.82	cor	E2
170			0	0	0		0	peu	4.44	6.82	cor	E2
171	17/10/2005	8.14	34.72	29.44	46.4	40	90	peu	4.52	6.82	cor	E2
172	17/10/2005	6.03	24.845	26.025	23.705	45	100	peu	6.82	6.82	cor	E2
173	17/10/2005	8.22	19.76	17.55	19.14	20	0	peu	6.72	6.82	cor	E2
174	17/10/2005	6.66	27.615	26.6	26.12	30	90	peu	6.00	6.82	cor	E2
175	17/10/2005	6.22	19.03	22.12	36.98	35	90	peu	5.22	6.82	cor	E2
176			0	0	0		0	peu	7.05	6.82	cor	E2
177			0	0	0		0	peu	5.50	6.82	cor	E2
178	24/10/2005	13.56	15.285	17.58	19.59	25	0	peu	6.54	6.82	cor	E2
179	17/10/2005	12.52	29.48	27.42	35.925	45	85	peu	6.53	6.82	cor	E2
180	17/10/2005	8.67	21.205	31.67	29.16	60	80	peu	5.98	6.82	cor	E2
181			0	0	0		0	peu	4.11	7.05	cor	E2
182	17/10/2005	3.01	0	0	0		0	peu	4.42	7.05	cor	E2
183			0	0	0		0	peu	6.12	7.05	cor	E2
184			0	0	0		0	peu	7.00	7.05	cor	E2
185	17/10/2005	6.63	12.49	18.41	20.81	25	0	peu	5.19	7.05	cor	E2
186	17/10/2005	6.44	0	0	0		0	peu	6.78	7.05	cor	E2
187			0	0	0		0	peu	5.03	7.05	cor	E2
188	24/10/2005	21.09	19.64	12.5	18.81	25	55	peu	6.30	7.05	cor	E2
189			0	0	0		0	peu	6.90	7.05	cor	E2
190			0	0	0		0	peu	7.09	7.05	cor	E2
191			0	0	0		0	peu	4.59	7.05	cor	E2
192	17/10/2005	7.98	22.755	23.325	31.405	45	80	peu	5.25	7.05	cor	E2
193	24/10/2005	5.44	9.21	5.78	7.58	15	0	peu	7.07	7.05	cor	E2
194			0	0	0		0	peu	6.00	7.05	cor	E2
195			0	0	0		0	peu	5.27	7.05	cor	E2
196	24/10/2005	10.23	35.285	41.105	55.28	60	110	peu	6.22	7.05	cor	E2
197	24/10/2005	9.9	11.22	4.26	0		0	peu	7.15	7.05	cor	E2
198	24/10/2005	10.96	17.72	8.77	15.48	25	85	peu	5.09	7.05	cor	E2
199	17/10/2005	7.98	25.38	30.35	38.12	40	90	peu	6.42	7.05	cor	E2
200			0	0	0		0	peu	6.88	7.05	cor	E2
201			0	0	0		0	mi	5.19	8.18	mac	rog
202			0	0	0		0	mi	4.98	8.18	mac	rog
203	17/10/2005	7.18		6.28	7.8	25	0	mi	3.80	8.18	mac	rog
204			0	0	0		0	mi	3.40	8.18	mac	rog
205	17/10/2005	8.09	0	0	0		0	mi	4.20	8.18	mac	rog
206	17/10/2005	4.82	16.92	0	0	15	95	mi	3.43	8.18	mac	rog
207			0	0	0		0	mi	1.74	8.18	mac	rog
208			0	0	0		0	mi	6.07	8.18	mac	rog
209	17/10/2005	5.6	9.17	6.72	0		0	mi	2.43	8.18	mac	rog
210			0	0	0		0	mi	5.24	8.18	mac	rog
211	17/10/2005	3.39	0	0	0		0	mi	2.23	8.18	mac	rog
212	17/10/2005	3.64	23.19	15.08	16.46	25	60	mi	3.89	8.18	mac	rog
213			0	0	0		0	mi	5.61	8.18	mac	rog
214			0	0	0		0	mi	2.24	8.18	mac	rog
215			0	0	0		0	mi	2.64	8.18	mac	rog
216	17/10/2005	8.8	14.97	14.37	11.25	35	75	mi	1.56	8.18	mac	rog
217	17/10/2005	3.44	0	0	0		0	mi	6.38	8.18	mac	rog
218			0	0	0		0	mi	4.21	8.18	mac	rog
219			0	0	0		0	mi	5.20	8.18	mac	rog
220	17/10/2005	5.31	14.79	12.52	12.97	20	95	mi	2.46	8.18	mac	rog
221			0	0	0		0	mi	4.23	8.18	mac	rog
222	05/04/2006	9.05	0	0	0	15	0	mi	4.58	8.18	mac	rog
223			0	0	0		0	mi	4.78	8.18	mac	rog
224			0	0	0		0	mi	3.71	8.18	mac	rog
225			0	0	0		0	mi	2.84	8.18	mac	rog
226			0	0	0		0	mi	4.88	8.18	mac	rog
227			0	0	0		0	mi	3.53	8.18	mac	rog
228	17/10/2005	6.74	22.96	11.41	10.41	25	0	mi	4.96	8.18	mac	rog
229			0	0	0		0	mi	3.26	8.18	mac	rog
230	17/10/2005	9.18	20.31	18.665	17.54	15	0	mi	2.43	8.18	mac	rog
231			0	0	0		0	mi	4.16	8.18	mac	rog
232			0	0	0		0	mi	4.02	8.18	mac	rog
233			0	0	0		0	mi	4.36	8.18	mac	rog
234	17/10/2005	8.3	5.95	0	0		0	mi	2.23	8.18	mac	rog
235			0	0	0		0	mi	5.44	8.18	mac	rog
236			0	0	0		0	mi	2.14	8.18	mac	rog
237			0	0	0		0	mi	4.23	8.18	mac	rog
238			0	0	0		0	mi	3.21	8.18	mac	rog
239	17/10/2005	8.74	20.18	18.76	28.73	35	65	mi	6.41	8.18	mac	rog
240			0	0	0		0	mi	1.71	8.18	mac	rog
241	13/02/2006	12.92	0	0	0		0	mi	5.03	8.37	mac	rog
242			0	0	0		0	mi	2.95	8.37	mac	rog
243	05/04/2006	11.76	0	0	0		0	mi	2.18	8.37	mac	rog
244			0	0	0		0	mi	3.19	8.37	mac	rog
245			0	0	0		0	mi	5.66	8.37	mac	rog
246			0	0	0		0	mi	2.95	8.37	mac	rog
247			0	0	0		0	mi	1.30	8.37	mac	rog
248			0	0	0		0	mi	1.64	8.37	mac	rog
249			0	0	0		0	mi	3.25	8.37	mac	rog
250			0	0	0		0	mi	3.70	8.37	mac	rog
251			0	0	0		0	mi	2.53	8.37	mac	nav
252			0	0	0		0	mi	4.54	8.37	mac	nav
253	24/10/2005	15.46	19.09	19.885	25.43	25	0	mi	5.77	8.37	mac	nav
254			0	0	0		0	mi	3.26	8.37	mac	nav
255			0	0	0		0	mi	3.46	8.37	mac	nav
256	17/10/2005	5.28	13.48	14.69	22.43	30	75	mi	4.92	8.37	mac	nav
257	17/10/2005	10.32	14.17	0	0		0	mi	3.11	8.37	mac	nav
258			0	0	0		0	mi	1.87	8.37	mac	nav
259	17/10/2005	10.22	21.405	21.52	20.17	15	0	mi	3.04	8.37	mac	nav
260			0	0	0		0	mi	3.79	8.37	mac	nav
261			0	0	0		0	mi	2.63	8.37	mac	nav
262	17/10/2005	5.34	23.6	25.72	27.09	55	0	mi	2.05	8.37	mac	nav
263			0	0	0		0	mi	3.65	8.37	mac	nav
264			0	0	0		0	mi	2.06	8.37	mac	nav
265	05/04/2006	17.04	0	0	0		0	mi	3.20	8.37	mac	nav
266			0	0	0		0	mi	4.34	8.37	mac	nav
267	17/10/2005	4.8	10.16	5.61	5	25	0	mi	3.34	8.37	mac	nav
268	15/03/2006	8.18	0	0	8.18	25	95	mi	4.50	8.37	mac	nav
269			0	0	0		0	mi	1.71	8.37	mac	nav
270	24/10/2005	8.54	14.22	12.17	18.16	25	95	mi	3.50	8.37	mac	nav
271			0	0	0		0	mi	3.18	8.37	mac	nav
272			0	0	0		0	mi	2.11	8.37	mac	nav
273			0	0	0		0	mi	2.38	8.37	mac	nav
274			0	0	0		0	mi	3.73	8.37	mac	nav
275	17/10/2005	5.8	14.925	18.22	20.7	30	105	mi	3.80	8.37	mac	nav
276	17/10/2005	3.9	10.69	7.49	5.18	15	0	mi	1.80	8.37	mac	nav
277			0	0	0		0	mi	3.80	8.37	mac	nav
278			0	0	0		0	mi	1.90	8.37	mac	nav
279			0	0	0		0	mi	4.68	8.37	mac	nav
280			0	0	0		0	mi	4.45	8.37	mac	nav
281			0	0	0		0	mi	2.12	8.04	mac	nav
282	05/04/2006	10.62	0	0	0	15	0	mi	4.36	8.04	mac	nav
283			0	0	0		0	mi	2.22	8.04	mac	nav
284			0	0	0	40	0	mi	3.95	8.04	mac	nav
285	17/10/2005	4.97	8.63	9.98	15.55	25	35	mi	4.29	8.04	mac	nav
286			0	0	0		0	mi	3.91	8.04	mac	nav
287	15/03/2006	5.14	0	0	5.14	25	90	mi	5.54	8.04	mac	nav
288	17/10/2005	7.16	0	0	0		0	mi	3.34	8.04	mac	nav
289			0	0	0		0	mi	2.97	8.04	mac	nav
290			0	0	0		0	mi	1.83	8.04	mac	nav
291	13/02/2006	7.96	0	0	0		0	mi	3.60	8.04	mac	nav
292	17/10/2005	3.31	15.31	14.5	15.68	25	0	mi	3.32	8.04	mac	nav
293	22/03/2006	15.8	0	0	15.8		0	mi	3.28	8.04	mac	nav
294	31/10/2005	7.51	11.74	17.58	13.86	15	0	mi	3.81	8.04	mac	nav
295			0	0	0		0	mi	3.59	8.04	mac	nav
296			0	0	0		0	mi	3.07	8.04	mac	nav
297			0	0	0		0	mi	2.84	8.04	mac	nav
298			0	0	0		0	mi	1.65	8.04	mac	nav
299			0	0	0		0	mi	1.92	8.04	mac	nav
300			0	0	0		0	mi	3.19	8.04	mac	nav
301	29/03/2006	17.6	0	0	0		0	mi	2.56	8.04	cor	E1
302	07/11/2005	10.25	9.86	13.94	15.45	20	75	mi	3.07	8.04	cor	E1
303	22/03/2006	11.3	0	0	11.3		0	mi	2.77	8.04	cor	E1
304	17/10/2005	13.4	25.205	22.68	23.5	35	105	mi	2.63	8.04	cor	E1
305			0	0	0		0	mi	3.75	8.04	cor	E1
306	17/10/2005	8.48	10.345	24.95	23.62	25	0	mi	4.70	8.04	cor	E1
307	17/10/2005	6.75	23.085	21.88	24.9	45	95	mi	4.28	8.04	cor	E1
308	15/03/2006	7.9	0	0	7.9	45	0	mi	3.20	8.04	cor	E1
